UserName,ScreenName,Location,TweetAt,OriginalTweet,Sentiment,clean_text
825,45777,Earth,12-03-2020,PM will be addressing the nation at 8pm later. Do not panic though. Do not wipe out the supermarket again.  #Covid_19,Positive,PM addressing nation 8pm later panic though wipe supermarket
826,45778,"Waterford, Ireland",12-03-2020,"QUARANTINE DIARY

Day 1: I have stocked up on enough non-perishable food and supplies to last me for months, maybe years, so that I can remain in isolation for as long as it takes to see out this pandemic

Day 1 + 45 minutes: I am in the supermarket because I wanted a Twix",Negative,QUARANTINE DIARY Day 1 stocked enough nonperishable food supplies last months maybe years remain isolation long takes see pandemic Day 1 45 minutes supermarket wanted Twix
827,45779,Laval,12-03-2020,"Me coming back from the grocery store!! ???
Places are packed Man!! ???
#Covid_19 #coronavirus https://t.co/KosxQNZAer",Neutral,coming back grocery store Places packed Man
828,45780,"London, England",12-03-2020,"Enjoy the best shows from Sky TV and Netflix side by side, for just £25 per month! Sky Q. All in one place. Easy.",Extremely Positive,Enjoy best shows Sky TV Netflix side side 25 per month Sky Q one place Easy
829,45781,Seattle,12-03-2020,?Got back from grocery store- amazingly well stocked but no hand sanitizer or alcohol left. Doc ofc havent had any cases which is good bc they have no test kits!!! Seems like no one does!  #COVID19 #coronavirus #CoronaVirusUpdate #outbreak #epidemic #pandemic #health #CDC #WHO,Extremely Positive,Got back grocery store amazingly well stocked hand sanitizer alcohol left Doc ofc havent cases good bc test kits Seems like one
830,45782,"Boise, ID",12-03-2020,"Hey, bee smart! Avoid the corona virus by shopping online ... Buy some socks! https://t.co/UAgPoGJbQL

#sockfetish #sockfetishsocks #socks #coronavirus #beesafe #shoplocal #supportsmallbusiness #buylocalboise https://t.co/huBK37KoMa",Positive,Hey bee smart Avoid corona virus shopping online Buy socks
831,45783,"San Diego County, Calif",12-03-2020,"Could you survive for a month without going to the store? Do you have dry milk in stock? Do you have basic medications for if you get sick? If you dont have a list, start now! #Coronavirus  
Emergency Food List Ideas:
https://t.co/7IFkv5vew8",Extremely Negative,Could survive month without going store dry milk stock basic medications get sick dont list start Emergency Food List Ideas
832,45784,In the flow,12-03-2020,"As we think only about ours, stock up on food, stay home from work, let's not forget about those who live a form of Covid-19 regularly - those without food, health coverage, suitable living conditions. Social distancing won't protect us. Now more than ever we need each other.",Extremely Positive,think stock food stay home work lets forget live form Covid19 regularly without food health coverage suitable living conditions Social distancing wont protect us ever need
833,45785,"Leicester, England",12-03-2020,"@BillyPTSD @martinsmith02 @HumphreysHope With harm reduction, emergency accommodation, specialised medical care and services working collectively to stock pile food and emergency medication supplies in good time for the inevitable #Covid_19 spike in the U",Negative,harm reduction emergency accommodation specialised medical care services working collectively stock pile food emergency medication supplies good time inevitable spike U
834,45786,"Spokane, WA",12-03-2020,"I sent my mom to get a huge amount of groceries. She says grocery store was busy. Cleaning product shelves empty. Toilet paper shelves empty. She bought Kleenex and paper towels. Says frozen food area has some low stock. 

Stay calm everyone. Stay smart. Prepare. #COVID2019",Positive,sent mom get huge amount groceries says grocery store busy Cleaning product shelves empty Toilet paper shelves empty bought Kleenex paper towels Says frozen food area low stock Stay calm everyone Stay smart Prepare
835,45787,Between pages of great ???,12-03-2020,"Please be aware #COVID19 #CoronaVirus has been confirmed on the #GoldCoast #QLD. If you're local &amp; #ImmuneCompromised please enlist medical hand washing, consider social distancing &amp; stock up on meds &amp; food if possible, asap. #EDS #Spoonie #ChronicIllness

https://t.co/x3rpZxP2L8",Extremely Positive,Please aware confirmed youre local amp please enlist medical hand washing consider social distancing amp stock meds amp food possible asap
836,45788,Between pages of great ???,12-03-2020,"#COVID19 #CoronaVirus declared #Pandemic by #WHO. If you are #Disabled, have a #ChronicIllness or are #ImmuneCompromised don't panic, please stay informed, practice medical handwashing, consider social distancing, &amp; stock up on meds &amp; food if possible.

https://t.co/grJ5yYTQWS",Negative,declared dont panic please stay informed practice medical handwashing consider social distancing amp stock meds amp food possible
837,45789,,12-03-2020,"Despite what @DHSgov recommends, there is no reason to stock up on two weeks of food AND WATER. Its not a natural disaster. Water service will continue &amp; water is safe to drink.  There is no #coronavirus in the water. Its about facts, not #hysteria and #panic. #TheMoreYouKnow",Neutral,Despite recommends reason stock two weeks food WATER natural disaster Water service continue amp water safe drink water facts
838,45790,"Beijing, China",12-03-2020,"Shopping for groceries, playing a Nintendo Wii, taking online courses???

A 23-year-old part-time vlogger/full-time student from Norway, who attends @PKU1898, is recording his daily life amid the novel #coronavirus epidemic.? [Photo/Xinhua] #SpotlightBeijing https://t.co/tEUgjLti05",Positive,Shopping groceries playing Nintendo Wii taking online courses 23yearold parttime vloggerfulltime student Norway attends recording daily life amid novel epidemic PhotoXinhua
839,45791,Youngstown OH,12-03-2020,"Seeing so many people at the supermarket today stocking up on so much makes me wonder how much is gonna be wasted before this blows over...

#CoronavirusPandemic 
#Covid_19",Negative,Seeing many people supermarket today stocking much makes wonder much gon na wasted blows
840,45792,"Lubbock, TX",12-03-2020,The TP section at my local grocery store. All of the food and drink aisles are perfectly normal and fully stocked. I am very confused about this #ToiletPaperApocalypse #Covid_19 https://t.co/0NYGaZtP9J,Positive,TP section local grocery store food drink aisles perfectly normal fully stocked confused
841,45793,CT,12-03-2020,"#pruell prices are getting close to escort  menus.  

$20 a pump 

#CoronavirusPandemic #CoronaVirusUpdate #CoronaOutbreak #Covid_19 #coronavirus #cor",Neutral,prices getting close escort menus 20 pump
842,45794,S A V A N N A H,12-03-2020,"All retail store cashiers should take two precautions for  customers:
1. Keep a ready bottle of hand sanitizer nearby for when people use pens or handle cash.
2. Keep screen wipes ready for use after every transaction where a buyer hand signs on screen.
#Covid_19 #Pandemic #Covid",Extremely Positive,retail store cashiers take two precautions customers 1 Keep ready bottle hand sanitizer nearby people use pens handle cash 2 Keep screen wipes ready use every transaction buyer hand signs screen
843,45795,"London, England",12-03-2020,Hopefully all these games played behind closed doors will open clubs eyes to how important the fans are to the beautiful game &amp; in turn lower ticket prices.....? #Covid_19,Extremely Positive,Hopefully games played behind closed doors open clubs eyes important fans beautiful game amp turn lower ticket prices
844,45796,"Berlin, Germany",12-03-2020,"Are we still allowed to refer to successfully spreading digital consumer products as ""viral"" or will we have to find a new word? Asking for a friend... #coronavirus",Extremely Positive,still allowed refer successfully spreading digital consumer products viral find new word Asking friend
845,45797,,12-03-2020,How come toilet paper prices are rising? Probably because of the #Covid_19 @GlobalBC,Neutral,come toilet paper prices rising Probably
846,45798,Horse Country ? Virginia,12-03-2020,"Who knew!

#COVID2019

Household Products That Destroy Novel Coronavirus - Consumer Reports https://t.co/hZSjz6Sts9",Negative,knew Household Products Destroy Novel Coronavirus Consumer Reports
847,45799,North Lincolnshire,12-03-2020,@Tesco Is it time to temporarily reintroduce bags for home delivery? It would help minimise contact between driver and customer.  Especially as many vulnerable people will be doing all their shopping online. #onlineshopping #coronavirus,Positive,time temporarily reintroduce bags home delivery would help minimise contact driver customer Especially many vulnerable people shopping online
848,45800,cookstown,12-03-2020,"Can't think of any situation that requires me having 100 rolls of toilet roll and that includes the St.Patricks weekend I drank nothing but Guinness for 3 days. Don't be a wanker and stop stock piling stuff you don't need, it's the reason prices are ridulous #Covid_19",Extremely Negative,Cant think situation requires 100 rolls toilet roll includes StPatricks weekend drank nothing Guinness 3 days Dont wanker stop stock piling stuff dont need reason prices ridulous
849,45801,,12-03-2020,"POINT OF SALE Software meets unique needs of small and medium enterprises

We sell hardwares at affordable prices 

TOUCH SCREEN MONITOR 25,000

COMPLETE DESKTOP KSH 12,000

THERMAL PRINTER KSH 13,000

CASH DRAWER KSH 8,000

CONTACT: 0722 904 209/0724 493 745

#Covid_19 https://t.co/8YePBAcG5i",Neutral,POINT SALE Software meets unique needs small medium enterprises sell hardwares affordable prices TOUCH SCREEN MONITOR 25000 COMPLETE DESKTOP KSH 12000 THERMAL PRINTER KSH 13000 CASH DRAWER KSH 8000 CONTACT 0722 904 2090724 493 745
850,45802,,12-03-2020,"if you live in a heavily COVID-19 affected area and cannot afford to stock up on things or lost your work study/job due to closings, message me your venmo @ and I will send you $100 to buy food/supplies no questions asked! I can only help the first 10 people",Negative,live heavily COVID19 affected area afford stock things lost work studyjob due closings message venmo send 100 buy foodsupplies questions asked help first 10 people
851,45803,"Lincoln, England",12-03-2020,I believe this is a conspiracy by the supermarket owners to get rid of their stock..... the amount of stores that are empty its unreal ? #Covid_19,Extremely Negative,believe conspiracy supermarket owners get rid stock amount stores empty unreal
852,45804,Earth,12-03-2020,"Online gaming, internet shopping and book sales are booming. If you too are self-imposing isolation @guardian has published #Coronavirus reading list: joyful books for dark, lonely times https://t.co/Od7hRxKriH",Negative,Online gaming internet shopping book sales booming selfimposing isolation published reading list joyful books dark lonely times
853,45805,New York City,12-03-2020,"The people telling us to stock up on 2+ weeks worth of food, toilet paper, and medicine, clearly dont live pay-check-paycheck.
#coronavirus #CoronavirusPandemic #COVID19",Positive,people telling us stock 2 weeks worth food toilet paper medicine clearly dont live paycheckpaycheck
854,45806,,12-03-2020,"So, after finally deciding that I need to buy a hand sanitizer .. I realized that after searching more than 10 pharmacies in Beirut, none of the sold sanitizers has a content part and so are unreliable. Two, prices are rediculously high and irrational.#??????_????? #Covid_19",Positive,finally deciding need buy hand sanitizer realized searching 10 pharmacies Beirut none sold sanitizers content part unreliable Two prices rediculously high irrational_
855,45807,,12-03-2020,"Its unacceptable how prices of masks, sanitizers and alcohol are irrationally high in such a critical and dangerous situation. Something should be done regarding this issue. #????_?????? #??????_????? #Covid_19",Extremely Negative,unacceptable prices masks sanitizers alcohol irrationally high critical dangerous situation Something done regarding issue _ _
856,45808,"Mystic Marsh, Winter Tundra",12-03-2020,"Lidl is total chaos, queues as long as the aisles. The cashier got up to go to the toilet and was met with roars of abuse. When I got to the top I asked how she was and she said I was the first person to ask her that all day. She has been working since 4am. Be a bit sounder lads",Extremely Negative,Lidl total chaos queues long aisles cashier got go toilet met roars abuse got top asked said first person ask day working since 4am bit sounder lads
857,45809,"Atlanta, GA",12-03-2020,"Me: are you going to go to the grocery store to stock up?

Mom: well, I just got my nails done.

#itscoronatime #CoronavirusPandemic #Covid_19",Positive,going go grocery store stock Mom well got nails done
858,45810,Manila ??,12-03-2020,"NEW VLOG!

Many people who feared for a possible lockdown in Metro Manila are reportedly panic-buying basic food and household items. 

But will it help or will only aggravate the COVID-19 situation we are facing now?

Know what Kuya Daniel says about it:
https://t.co/4Fd0ZiN8Vz",Extremely Negative,NEW VLOG Many people feared possible lockdown Metro Manila reportedly panicbuying basic food household items help aggravate COVID19 situation facing Know Kuya Daniel says
859,45811,"Toronto, Ontario Canada ",12-03-2020,#CoronavirusPandemic is a Respiratory Virus all you need are herbs to boost your immune system. https://t.co/S6ouhexsjr all prices are in Canadian dollars. Free shipping over $80 #Covid_19 #CoronaVirusUpdate #CoronaOutbreak #coronavirus #Coronavid19 #Canada #CanadaPRMasterClass https://t.co/HiiQFJaVGI,Extremely Positive,Respiratory Virus need herbs boost immune system prices Canadian dollars Free shipping 80
860,45812,"London, Italy, Greece, Mexico",12-03-2020,Any companies found to be selling antibacterial wipes etc at extremely high prices should be boycotted after this is all over !Disgraceful behaviour at a time like this! Lots saying how entrepreneurial it is ! What a load of BS! Entrepreneurship is about helping also!! #Covid_19,Positive,companies found selling antibacterial wipes etc extremely high prices boycotted Disgraceful behaviour time like Lots saying entrepreneurial load BS Entrepreneurship helping also
861,45813,Canada,12-03-2020,More than 4.4 million Canadians say they feel food insecure due to financial constraints: report https://t.co/3GPXCThrNM https://t.co/t507X4oG9k,Negative,44 million Canadians say feel food insecure due financial constraints report
862,45814,"London, England",12-03-2020,The corner shop couple delivering 'coronavirus kits' to those in need https://t.co/gCbsW1pr4E,Neutral,corner shop couple delivering coronavirus kits need
863,45815,Qatar,12-03-2020,"The companies said that they took stock of the situation and started working on main and alternative plans to meet the demand of foods in local market.
#Qatar #coronavirus #Food 
https://t.co/GisvRatyJK",Negative,companies said took stock situation started working main alternative plans meet demand foods local market
864,45816,,12-03-2020,On the plus side fuel prices have dropped.#CoronavirusPandemic #coronavirus #Covid_19 #CoronaVirusUpdate,Neutral,plus side fuel prices dropped
865,45817,Global,12-03-2020,JUST IN: Oil prices now down by over 6%,Neutral,Oil prices 6
866,45818,"Toronto, Canada",12-03-2020,"We're at a critical time for the containment of COVID-19.

As a necessary precaution, The Stop will be shifting our resources away from community programming and towards emergency food access services starting Monday, March 16.  https://t.co/rM191zyAfX",Extremely Negative,critical time containment COVID19 necessary precaution Stop shifting resources away community programming towards emergency food access services starting Monday March 16
867,45819,,12-03-2020,Yall need to calm tf down at the grocery store. #CoronavirusPandemic #Covid_19 #thursdaymorning,Positive,Yall need calm tf grocery store
868,45820,NYC,12-03-2020,"https://t.co/UIyysVsc1x

""This is about much more than coronavirus, oil prices, or even the global economy. This is about the balance of power between East and West.""  H/t @Independent. Exactly. #Covid_19 #globaleconomy cc: @DieSchwarzePerl @JOHNGIDDING @dwbwriter @dr_grzanka",Neutral,much coronavirus oil prices even global economy balance power East West Ht Exactly cc
869,45821,,12-03-2020,"#Airbnb some hosts are taking advantage of the #Covid_19 pandemic &amp; charging outrages prices/cancellation fees.  Just got hit w/ charge of $450 for 1 night b/c they literally said, ""we have to make money somehow.""  I'll never use @airbnb again. A hotel would have refunded money.",Negative,hosts taking advantage pandemic amp charging outrages pricescancellation fees got hit w charge 450 1 night bc literally said make money somehow Ill never use hotel would refunded money
870,45822,American Samoa,12-03-2020,"People in Italy: stock up food
People in UK: Stock uo toilet paper

#Covid_19 #lockdown #uk #Italy #COVID2019uk",Neutral,People Italy stock food People UK Stock uo toilet paper
871,45823,,12-03-2020,"Schools: closed
Professional Sports: canceled 
Groups of 250+: banned
Stock Market: crashing
My $2.13/hour job handling hundreds of strangers food and silverware: come on in, people aren't working so we will be busy.

#serverlife #Covid_19 #hospitalityindustry",Negative,Schools closed Professional Sports canceled Groups 250 banned Stock Market crashing 213hour job handling hundreds strangers food silverware come people arent working busy
872,45824,"Minneapolis, MN",12-03-2020,SEEKING: Everyone's favorite proactive consumer messaging in response to #Coronavirus/#COVID_19,Extremely Positive,SEEKING Everyones favorite proactive consumer messaging response
873,45825,"Turku, Finland",12-03-2020,"(IL)
Whyyyy? Finnish are crazy..
Buying all the toilet paper from the shops? Like, are yall gonna eat it? Or build barrigades against the virus?
Cmon, there is still toilet paper in stores, and we have online shopping and home delivery if needed..
#Koronavirusfi #Covid_19 https://t.co/VGISDN7F5M",Neutral,IL Whyyyy Finnish crazy Buying toilet paper shops Like yall gon na eat build barrigades virus Cmon still toilet paper stores online shopping home delivery needed
874,45826,"Brooklyn, NY",12-03-2020,I've never been in a supermarket where so many people went out of their way to not accidentally touch each other. It was a strangely considerate experience. #Covid_19,Positive,Ive never supermarket many people went way accidentally touch strangely considerate experience
875,45827,"Irvine, CA",12-03-2020,"The saddest thing- As attendees and vendors, if ever we needed hugs its now... and we cant even do that ?
#WonderCon
#SDCC https://t.co/Crnjqw2IqR",Negative,saddest thing attendees vendors ever needed hugs cant even
876,45828,,12-03-2020,"Underneath, this is what everyone looks like in my local supermarket #Coronavirus #Covid_19 
Paranoia's poison door
21st Century Schizoid Man https://t.co/FL5NNC6by7",Negative,Underneath everyone looks like local supermarket Paranoias poison door 21st Century Schizoid Man
877,45829,East Cork via Cork & Somerset!,12-03-2020,"This. This. This. 

A bazillion times this

#Covid_19 

*I work in a supermarket https://t.co/aCrsItmj25",Neutral,bazillion times work supermarket
878,45830,,12-03-2020,"Stock up on food and water just to be safe folks. Covid-19 isnt deadly, but it has a chance to disrupt food supply chains. Humans are nine meals away from anarchy; you do not want to be in the streets at that time. Buy a gun to protect you and yours. Be prepared, just in case",Extremely Positive,Stock food water safe folks Covid19 isnt deadly chance disrupt food supply chains Humans nine meals away anarchy want streets time Buy gun protect prepared case
879,45831,Currently Traveling,12-03-2020,"I work at a small local grocery store and news just hit that they're shutting schools down for three weeks. Please have patience with your cashiers, baggers, and stock people. We are trying the best we can to keep up.
#Covid_19",Extremely Positive,work small local grocery store news hit theyre shutting schools three weeks Please patience cashiers baggers stock people trying best keep
880,45832,Fodlan,12-03-2020,"It'll be interesting to see how retail stores react to covid-19. Do they take a short term profit loss by closing, or do they risk a PR nightmare and long term profit and consumer trust loss by potentially having an outbreak start in their store?",Extremely Positive,Itll interesting see retail stores react covid19 take short term profit loss closing risk PR nightmare long term profit consumer trust loss potentially outbreak start store
881,45833,,12-03-2020,"Me: We should stock up food for 2 months becuase of #Covid_19 

9 yr old bro: So how many @lacroixwater is that? 

??",Neutral,stock food 2 months becuase 9 yr old bro many
882,45834,,12-03-2020,"Where did coronavirus come from, and where will it take us? An interview with Rob Wallace, author of Big Farms Make Big Flu

https://t.co/Hqp68iu1iN https://t.co/dR4Ys2hCOy",Extremely Negative,coronavirus come take us interview Rob Wallace author Big Farms Make Big Flu
883,45835,Worldwide,12-03-2020,The UK government is experimenting with the publics health just to save share prices. #CobraMeeting #Covid_19,Extremely Positive,UK government experimenting publics health save share prices
884,45836,Baku,12-03-2020,"What's positive about Corona virus:
- helping to fight climate crisis
- stock markets are disrupted
- oil prices are getting lower
- flights cancelled
- more family gatherings
- works can be done via emails and from home
- distance education is working

Comrade #Covid_19 ?",Extremely Negative,Whats positive Corona virus helping fight climate crisis stock markets disrupted oil prices getting lower flights cancelled family gatherings works done via emails home distance education working Comrade
885,45837,Public Affairs & PR ,12-03-2020,"JUST IN: @DelhaizeBelgium Supermarket in central residential area of #Brussels. 

#Covid_19 #COVID19BE #StayHomeBelgium https://t.co/aqjcqGxDcK",Neutral,Supermarket central residential area
886,45838,All over ,12-03-2020,Since corona virus Ive started online clothing shopping this is my new outfit. #shopping #oodt #fashionista #coronavirus #covid19Canada https://t.co/7a0fT0YgFA,Neutral,Since corona virus Ive started online clothing shopping new outfit
887,45839,"Kuching, Sarawak",12-03-2020,"Video conferencing, online shopping, remote work, crypto, e-wallets, VR, ebooks, e-classroom, digital assistants, assets tokenization, STO. It's their time 2 shine. Organizations that dont offer these options will have to rethink.  Face2face is so covid-19! #xtz #COVID19",Positive,Video conferencing online shopping remote work crypto ewallets VR ebooks eclassroom digital assistants assets tokenization STO time 2 shine Organizations dont offer options rethink Face2face covid19
888,45840,"Nairobi, Kenya",12-03-2020,"Catching flights and not feelings... The prices are falling y'all ?
https://t.co/wo1DYYSXfr

#Covid_19",Negative,Catching flights feelings prices falling yall
889,45841,,12-03-2020,@offhandmanor1 @BeyondaBoundary @toddzwillich @jdesmondharris Flu shot would not prevent #coronavirus. And now is not a good time for old folks to visit doctor's offices or pharmacies. Social distancing &amp; online shopping is the safest bet.,Negative,Flu shot would prevent good time old folks visit doctors offices pharmacies Social distancing amp online shopping safest bet
890,45842,,12-03-2020,"Im stuck indoors for the foreseeable due to avoiding Covid-19, all I do is look at online shopping.... think @EmmaBridgewater may benefit from cabin fever after a week or so...",Negative,Im stuck indoors foreseeable due avoiding Covid19 look online shopping think may benefit cabin fever week
891,45843,"Pleasantville, USA",12-03-2020,"Got back from grocery store... wtf is it with TP and water? Ive literally gone from worrying if im gonna get #Covid_19 to worrying about how im gonna wipe my ass next week ? Scary times. oh well, i have enough hot pockets to last a month ?",Extremely Negative,Got back grocery store wtf TP water Ive literally gone worrying im gon na get worrying im gon na wipe ass next week Scary times oh well enough hot pockets last month
892,45844,,12-03-2020,"It seems that #coronavirus spread has given several companies a nightmare owing to their dropping sales. @Apple on these grounds has decided to temporarily close all its #retail stores  in #italy till further notice. Will this 'horror' flick ever end? 
https://t.co/Yv1Es6wLJX",Extremely Negative,seems spread given several companies nightmare owing dropping sales grounds decided temporarily close stores till notice horror flick ever end
893,45845,London,12-03-2020,"While you may be based at home, just remember to do your online shopping with Amazon Smile. Relieve your boredom and support WIZO at the same time #coronavirus #charity #covd19 https://t.co/oaKa4KfDAk",Extremely Positive,may based home remember online shopping Amazon Smile Relieve boredom support WIZO time
894,45846,"Texas, USA",12-03-2020,"Dont go to school, dont go to sporting events, dont go where theres crowds or youll get the #coronavirus. But theres 800 people at every grocery store. How are we going to avoid that?",Negative,Dont go school dont go sporting events dont go theres crowds youll get theres 800 people every grocery store going avoid
895,45847,,12-03-2020,Going to have to check this out. Wonder what the prices are with  #COVID2019 running amok ? https://t.co/yYUPcnzDxQ,Neutral,Going check Wonder prices running amok
896,45848,USA,12-03-2020,I think it's safe to say that the current situation society is facing is going to have a profound impact on people's move towards shopping and searching online for businesses. It's time to get your business online. #coronavirus,Positive,think safe say current situation society facing going profound impact peoples move towards shopping searching online businesses time get business online
897,45849,Galway ,12-03-2020,"Instead of panic buying in the crowded supermarkets, pop down to the local shop and see if they have what you need. The prices are pretty reasonable in most of them #Covid_19 #panicbuying",Neutral,Instead panic buying crowded supermarkets pop local shop see need prices pretty reasonable
898,45850,"Puget Sound, WA",12-03-2020,"In Seattle, some things seem normal. I could drive to the grocery store or the gas station. I could keep my appointments. But its all just better if I stay in. I can be one less person out bumping into other people, giving off or picking up germs on every surface. #coronavirus",Extremely Positive,Seattle things seem normal could drive grocery store gas station could keep appointments better stay one less person bumping people giving picking germs every surface
899,45851,"Worcester, England",12-03-2020,The poorer people in the country are already suffering enough by buying what they can afford when they can afford it without stupid cunts stock piling food and essentials. Have some decency and sense you pricks. #Covid_19 #CoronavirusPandemic https://t.co/vPs79hXOM5,Negative,poorer people country already suffering enough buying afford afford without stupid cunts stock piling food essentials decency sense pricks
900,45852,United States,12-03-2020,"@Fly_Norwegian I skipped dealing with you guys filed a complaint with Aviation Consumer Protection Division
Office of Aviation Enforcement and Proceedings!
AND THEN
I filed a charge back with American Express
GOODBYE
#boycottnorwegian #italy #Co",Negative,skipped dealing guys filed complaint Aviation Consumer Protection Division Office Aviation Enforcement Proceedings filed charge back American Express GOODBYE
901,45853,"DLT & ILP, Not Really",12-03-2020,The #cryptomarket is PROBABLY selling off due to people cashing out in order to stock up on food &amp; supplies to ride out #covid-19. We haven't sold core holdings in years. Trying to explain the psychology in simplest terms,Neutral,PROBABLY selling due people cashing order stock food amp supplies ride 19 havent sold core holdings years Trying explain psychology simplest terms
902,45854,"New York, USA",12-03-2020,Went to the grocery store to pick up some things and people are actually losing it over the #coronavirus #CoronavirusPandemic #Covid_19 https://t.co/DnM0zapxH7,Negative,Went grocery store pick things people actually losing
903,45855,"Treviso, Italy",12-03-2020,"Queue to enter the local supermarket. Ordered, somber, and one meter apart as directed. Fully stocked here in Treviso. No panic. Just taking it day by day. #Covid_19 #COVID19 #CoronaOutbreak #CoronaVirusUpdate #coronavirusitalia https://t.co/Sbx3xtll6i",Extremely Negative,Queue enter local supermarket Ordered somber one meter apart directed Fully stocked Treviso panic taking day day
904,45856,"New York, NY",12-03-2020,"alright #coronavirus you can fuq with my commute, fuq with mandatory wfh + even fuq with my online shopping addiction to china but you cannot FUQ WITH @tomhanks",Positive,alright fuq commute fuq mandatory wfh even fuq online shopping addiction china FUQ
905,45857,Jamaica,12-03-2020,The Corona Convo In the Supermarket ??? She called the police ? #CoronaVirusUpdate #Covid_19 #CoronavirusPandemic #Jamaica https://t.co/TcTs9RivwZ,Neutral,Corona Convo Supermarket called police
906,45858,,12-03-2020,"Coronavirus got Boomers stocking their doomsday bunkers... meanwhile millennials are online shopping for bathing suits for the five island trip they just booked on Spirit for $130. @KHJ_Esq
 And iGens are hoping schools extend spring break  #youthministry #coronavirus https://t.co/9KgBpW6PnO",Positive,Coronavirus got Boomers stocking doomsday bunkers meanwhile millennials online shopping bathing suits five island trip booked Spirit 130 iGens hoping schools extend spring break
907,45859,"Indiana, USA",12-03-2020,Airlines grounded. Stock market plummeting. Events cancelled. Threat of food shortages. #Covid_19 is like a test run for the #GreenNewDeal. Upshot. Carbon footprint for the US is going to look great. @AOC,Positive,Airlines grounded Stock market plummeting Events cancelled Threat food shortages like test run Upshot Carbon footprint US going look great
908,45860,"Seattle, WA",12-03-2020,"If you can afford to do it, you should consider buying extra at the grocery store and donating it to local food banks or donate that money to your favorite local charity. Times are about to even tighter for lots of families...
#schoolclosings #Covid_19",Extremely Positive,afford consider buying extra grocery store donating local food banks donate money favorite local charity Times even tighter lots families
909,45861,,12-03-2020,"@JGreenblattADL BEST WAY TO DEAL WITH COVID-19:
1. Announce to the country a chosen date to suspend all activities for one month (give people time to stock on food supplies, meds, etc.)
2. Quarantine everyone at home, except sick people and emergency ",Negative,BEST WAY DEAL COVID19 1 Announce country chosen date suspend activities one month give people time stock food supplies meds etc 2 Quarantine everyone home except sick people emergency
910,45862,London/Midlands UK,12-03-2020,Found myself standing in aisle in supermarket staring at empty shelves of toilets rolls and soap. Weve seen what fear does politically in elections. Shouldnt be surprised at the frenzy at supermarkets #COVID19 #Covid_19 #CoronavirusPandemic,Extremely Negative,Found standing aisle supermarket staring empty shelves toilets rolls soap Weve seen fear politically elections Shouldnt surprised frenzy supermarkets
911,45863,,12-03-2020,"Irony of everybody panic buying,  everybody is wedged into a supermarket #Covid_19",Negative,Irony everybody panic buying everybody wedged supermarket
912,45864,VA,12-03-2020,Headed to the grocery store this afternoon to stock up on non perishable food. COVID-19 is a distraction from something big coming. #beaware #bevigilant,Negative,Headed grocery store afternoon stock non perishable food COVID19 distraction something big coming
913,45865,,12-03-2020,"My country has gone into a lockdown. Stay safe everyone wash your hands daily, use hand sanitizer and make sure elders have spare food in shops! Panic spree shopping left elders with very little food ? #Covid_19",Extremely Positive,country gone lockdown Stay safe everyone wash hands daily use hand sanitizer make sure elders spare food shops Panic spree shopping left elders little food
914,45866,Liberland,12-03-2020,"@business producers exploiting the fear from #Covid_19 ..prices rises 1000X for hand sanitizers, masks/toilet papers/rice/canned food/beans....hackers are a bit late jumping into the party,  as #CoronaOutbreak went global... wh/ all of them goods are  mad",Negative,producers exploiting fear prices rises 1000X hand sanitizers maskstoilet papersricecanned foodbeanshackers bit late jumping party went global wh goods mad
915,45867,"Pune, Maharashtra",12-03-2020,"Lock down #india for 30 days, close everything, financial market, stock market bank, give 2 days to Indians to store food, when all in control than in later months ask to work on #sunday, it will control #coronavirus @PMOIndia @narendramodi @PiyushGoyal @MoHFW_INDIA",Neutral,Lock 30 days close everything financial market stock market bank give 2 days Indians store food control later months ask work control
916,45868, kilkenny. ,12-03-2020,"The person who stereotyped irish people as laidback and chill clearly hasn't stepped into a supermarket in the midst of a storm or a pandemic. If you are gonna do your shop in the coming days, get what you need, and be mindful of others. #Covid_19",Positive,person stereotyped irish people laidback chill clearly hasnt stepped supermarket midst storm pandemic gon na shop coming days get need mindful others
917,45869,,12-03-2020,#BBCqt @MattHancock and his supermarket lie comming up again #Covid_19,Neutral,supermarket lie comming
918,45870,Toronto,12-03-2020,There's massive lineups at grocery stores in Toronto today like at this No Frills on Front St. #Toronto #NoFrills #Covid_19 ? @canchakir https://t.co/rdt4NQWgsq,Positive,Theres massive lineups grocery stores Toronto today like Frills Front St
919,45871,DTX,12-03-2020,waiting for the retail store e-mails to start rolling in with the Use Promo Code COVID-19 for 19% discount,Neutral,waiting retail store emails start rolling Use Promo Code COVID19 19 discount
920,45872,"Brisbane, Queensland",12-03-2020,"The businessDEPOT team shares what they would be suggesting you do as a business owner if your business is being affected by #Coronavirus directly, or indirectly through reduced consumer or business confidence. Read more: https://t.co/Xro3aEB3vl

#sme #smallbusiness",Positive,businessDEPOT team shares would suggesting business owner business affected directly indirectly reduced consumer business confidence Read
921,45873,Socially Distanced in NC,12-03-2020,"Please stop mocking folks who stock up on food and personal care products in the face of #CoronaVirus #COVID19. #Trump made it clear that he doesnt care and wont help, so theyre protecting their families their way. Its one small bit of mastery and control in terrifying times. https://t.co/cx75ax4wIB",Extremely Positive,Please stop mocking folks stock food personal care products face made clear doesnt care wont help theyre protecting families way one small bit mastery control terrifying times
